key,publication title,BibtexKey,rid1,rid2,doublecheck_request,reason_for_doublecheck_request,doublecheck_completed
Z2EIFGK7,Empirical Economics,Bagzibagli_2014_monetary,dr,fp,FALSE,NA,NA
RVPNMC49,Working Papers,Kilinc_2014_identification,me,fp,TRUE,How to handle that log transformed data is hp filtered afterwards?,1
YAL9JMQ7,Economic Modelling,Zheng_2013_estimating,me,fp,TRUE,"in the paper they calculates the annualized output gap, therefore coded as logdiff_a_rgap.",1
XNPIMZ6E,AUCO Czech Economic Review,Migliardo_2010_monetary,me,fp,TRUE,hp filtered data,1
KR577QCR,De Economist,Smets_1999_the,me,fp,TRUE,check coding of identification_strategy,1
FI95JJ2I,Journal of Applied Econometrics,Luciani_2015_monetary,me,fp,TRUE,pure rate shock=True?,1
T5DWFC89,Economic Modelling,Kumar_2020_changing,me,fp,TRUE,"Check transformation and periodicity of ""inttype"" and „dep“.",1
CCK34ZXY,Working paper,Góes_NA_a,me,fp,TRUE,response to real interest rate not coded.,1
IC2MMT6E,Oxford Bulletin of Economics and Statistics,Bock_2021_international,dr,fp,FALSE,NA,1
YBNLSGYN,Journal of Macroeconomics,Voss_2009_monetary,dr,fp,FALSE,NA,1
Z2EIFGK7,Empirical Economics,Bagzibagli_2014_monetary,dr,fp,FALSE,NA,1
CTS6MQJC,Southern Economic Journal,Ho_2010_measuring,fp,dr,FALSE,NA,1
G968JAHL,Oxford Bulletin of Economics and Statistics,Dery_2021_disentangling,ph,dr,FALSE,NA,1
X7D67U3R,NA,Burgard_2023_almost,ph,dr,FALSE,NA,1
NWBEIT6B,"BIS Quarterly Review, December",Hofmann_2017_is,me,dr,FALSE,NA,1
8B2BELF5,Atlantic Economic Journal,Arin_2005_transtasman,me,dr,FALSE,NA,1
SPBPFTI6,Quantitative Economics,Bruns_2023_a,me,dr,FALSE,NA,1
WRZ8Q2N8,NA,Jordà_2020_the,ph,dr,FALSE,NA,1
6H5EMS5T,Economic Modelling,Altavilla_2010_evaluating,ph,dr,FALSE,NA,1
4TYJQZIQ,Journal of Financial Stability,Kim_2017_managing,ph,dr,FALSE,NA,1
32UQB7L5,American Economic Journal: Macroeconomics,Tenreyro_2016_pushing,me,dr,FALSE,NA,1
