"label","key","item type","publication year","author","title","publication title","isbn","issn","doi","url","abstract note","date","date added","date modified","access date","pages","num pages","issue","volume","number of volumes","journal abbreviation","short title","series","series number","series text","series title","publisher","place","language","rights","type","archive","archive location","library catalog","call number","extra","notes","file attachments","link attachments","manual tags","automatic tags","editor","series editor","translator","contributor","attorney agent","book author","cast member","commenter","composer","cosponsor","counsel","interviewer","producer","recipient","reviewed author","scriptwriter","words by","guest","number","edition","running time","scale","medium","artwork size","filing date","application number","assignee","issuing authority","country","meeting name","conference name","court","references","reporter","legal status","priority numbers","programming language","version","system","code","code number","section","session","committee","history","legislative body","matches"
"ref_10517","68T8RCC8","journalArticle",2006,"Williams, John C.","Monetary Policy in a Low Inflation Economy with Learning",NA,NA,NA,"10.2139/ssrn.1004577","https://papers.ssrn.com/abstract=1004577","In theory, monetary policies that target the price level, as opposed to the inflation rate, should be highly effective at stabilizing the economy and avoiding deflation in the presence of the zero lower bound on nominal interest rates. With such a policy, if the short-term interest rate is constrained at zero and the inflation rate declines below its trend, the public expects that policy will eventually engineer a period of above-trend inflation that restores the price level to its target level. Expectations of future monetary accommodation stimulate output and inflation today, mitigating the effects of the zero bound. The effectiveness of such a policy strategy depends crucially on the alignment of the public's and the central bank's expectations of future policy actions. In this paper, we consider an environment where private agents have imperfect knowledge of the economy and therefore continuously reestimate the forecasting model that they use to form expectations. We find that imperfect knowledge on the part of the public, especially regarding monetary policy, can undermine the effectiveness of price-level-targeting strategies that would work well if the public had complete knowledge. For low inflation targets, the zero lower bound can cause a dramatic deterioration in macroeconomic performance with severe recessions occurring with alarming frequency. However, effective communication of the policy strategy that reduces the public's confusion about the future course of monetary policy significantly reduces the stabilization costs associated with the zero bound. Finally, the combination of learning and the zero bound implies the need for a stronger policy response to movements in the price level than would otherwise be optimal and such a rule is effective at stabilizing both inflation and output in the presence of learning and the zero bound even with a low inflation target.","2006-09-01",2023-03-16 15:47:31,2023-03-16 15:47:31,1678460070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,"Social Science Research Network",NA,"Place: Rochester, NY",NA,NA,NA,"Monetary policy; Inflation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10014
"ref_04232","M24QG4PP","journalArticle",2014,"Darracq Paries, Matthieu; Maurin, Laurent; Moccero, Diego","Financial conditions index and credit supply shocks for the euro area",NA,NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1439504&site=ehost-live","We implement a two-step approach to construct a financing conditions index (FCI) for the euro area and its four larger member states (Germany, France, Italy and Spain). The method, which follows Hatzius et al. (2010), is based on factor analysis and enables to summarise information on financing conditions from a large set of financial indicators, controlling for the level of policy interest rates, changes in output and inflation. We find that the FCI tracks successfully both worldwide and euro area specific financial events. Moreover, while the national FCIs are constructed independently, they display a similar pattern across the larger euro area economies over most of the sample period and varied more widely since the start of the sovereign debt crisis in 2010. Focusing on the euro area, we then incorporate the FCI in a VAR model comprising output, inflation, the monetary policy rate, bank loans and bank lending spreads. The credit supply shock extracted with sign restrictions is estimated to have caused around one fifth of the decline in euro area manufacturing production at the trough of the financial crisis and a rise in bank lending spreads of around 30 basis points. We also find that adding the FCI to the VAR enables an earlier detection of credit supply shocks.","2014",2023-02-13 13:37:07,2023-02-13 13:37:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh","Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org","EBSCOhost",NA,NA,NA,NA,NA,"Financial Markets and the Macroeconomy E44; General Aggregative Models: Forecasting and Simulation: Models and Applications E17; Monetary Policy, Central Banking, and the Supply of Money and Credit: General E50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4071
"ref_08638","8P25CAE8","journalArticle",2003,"Tsujimura, Kazusuke; Mizoshita, Masako","Asset-Liability-Matrix Analysis Derived from the Flow-of-Funds Accounts: The Bank of Japan's Quantitative Monetary Policy Examined","Economic Systems Research",NA,"0953-5314","10.1080/0953531032000056936","https://doi.org/10.1080/0953531032000056936","The first purpose of this paper is to present the compilation procedure of the Asset- Liability-Matrix (ALM) from the Flow-of-Funds (FOF) accounts in the balance sheet format that is widely available in IMF member countries. The introduction of ALM into the framework of FOF analysis enables us to utilize the affluent assets of input-output analysis, notably the concept of Leontief inverse. The second purpose of this article is to demonstrate the application of ALM to the examination of the quantitative monetary policy introduced by the Bank of Japan (BOJ) in March 2001. It can be said, as a conclusion, that there was a tactical error in the quantitative monetary policy adopted by BOJ in terms of the combination of money market operations. We believe that the ALM framework of FOF analysis is a powerful and practical device to fulfil this kind of examination.","2003-03-01",2023-03-16 15:40:08,2023-03-16 15:40:08,1678277166,"51-67",NA,"1","15",NA,NA,"Asset-Liability-Matrix Analysis Derived from the Flow-of-Funds Accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taylor and Francis+NEJM",NA,NA,NA,NA,NA,"Central Banking; Asset-liability-matrix; Flow-of-funds; Quantitative Monetary Policy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8206
"ref_05559","7GZ5HM7N","journalArticle",2010,"Jimenez-Rodriguez, Rebeca; Morales-Zumaquero, Amalia; Egert, Balazs","The VARying Effect of Foreign Shocks in Central and Eastern Europe",NA,NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1130660&site=ehost-live","This paper investigates the impact of international shocks--interest rate, commodity price and industrial production shocks--on key macroeconomic variables in ten Central and Eastern European (CEE) countries by using near-VAR models and monthly data from the early 1990s to 2009. In contrast to previous work, the empirical analysis takes explicit account of the possibility of (multiple) structural breaks in the underlying time series. We establish strong evidence of structural breaks, particularly along the years 2007 and 2008, suggesting the very relevant impact of the recent global crisis on CEE economies. Moreover, our results suggest that the way how countries react to world commodity price shocks is related to the underlying economic structure and the credibility of the monetary policy. We also find that some countries like Slovakia and Slovenia--already euro area members--react stronger to foreign industrial production shocks than other countries and that the responses to such shocks are strongly correlated for selected CEE countries. Nevertheless, our results also shed light on substantial differences in responses to foreign interest rate shocks that originate from the US or the euro area.","2010",2023-02-13 13:38:02,2023-02-13 13:38:02,NA,"pages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh","Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org","EBSCOhost",NA,NA,NA,NA,NA,"Interest Rates: Determination, Term Structure, and Effects E43; Monetary Policy E52; Dynamic Quantile Regressions; Dynamic Treatment Effect Models; Monetary Policy, Central Banking, and the Supply of Money and Credit: General E50; Economywide Country Studies: Europe O52; Diffusion Processes C22; Single Equation Models; Single Variables: Time-Series Models",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5244
"ref_00133","95F24K8S","journalArticle",2019,"Cenesiz, M. Alper; Guimaraes, Luis","Sticky Price Models, Durable Goods, and Real Wage Rigidities","Journal of Money, Credit, and Banking",NA,"00222879",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1765315&site=ehost-live","The standard two-sector New Keynesian model with durable goods is at odds with conventional wisdom and vector autoregression (VAR) evidence: Following a monetary shock, the model generates (i) either negative or no comovement across sectoral outputs and (ii) aggregate neutrality of money when durable goods' prices are flexible. We reconcile theory with evidence by incorporating real wage rigidities into the standard model: As long as durable goods' prices are more flexible than nondurable goods' prices, we obtain positive sectoral comovement and, thus, aggregate nonneutrality of money.","2019-03",2023-02-13 13:34:18,2023-02-13 13:34:18,NA,"721-737",NA,"2","51",NA,"Journal of Money, Credit, and Banking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Intergenerational Income Distribution; Unemployment; Wages; Employment; Inflation; Aggregate Human Capital; Aggregate Labor Productivity E24; Business Fluctuations; Cycles E32; Deflation E31; Monetary Policy E52; Price Level; General Aggregative Models: Keynes; Keynesian; Post-Keynesian E12; Credit; Money Multipliers E51; Money Supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131
"ref_01071","NXUJHJPH","journalArticle",2018,"Varghese, Richard; Zhang, Yuanyan Sophia","A New Wave of ECB's Unconventional Monetary Policies: Domestic Impact and Spillovers",NA,NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1710507&site=ehost-live","ECB President Draghi's Jackson Hole speech in August 2014 arguably marked a new phase of unconventional monetary policies (UMPs) in the euro area. This paper examines the market impact and tranmission channels of this new wave of UMPs using a modified event study framework. They are found to have a more prominent impact on inflation expectations and exchange rates compared to the earlier UMP announcements. The impact on bank equity, however, is less significant in part due to narrowing profit margin in a low interest rate environment; and the marginal effect on sovereign spread compression has diminished. By extracting components of monetary policy shocks from the yield curve, we find that the traditional signaling channel of the monetary policy transmission continued to play an important role, but the portfolio rebalancing channel became more important in the new phase. Spillovers to non-euro area EU countries (the Czech Republic, Denmark, Poland, and Sweden) are transmitted mainly through the portfolio rebalancing channel, largely affecting sovereign yields and exchange rates.","2018",2023-02-13 13:34:55,2023-02-13 13:34:55,NA,"33-33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh","Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org","EBSCOhost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040
"ref_05103","R83DMM98","journalArticle",2004,"Bilbiie, Florin O.","The great inflation, limited asset markets participation and aggregate demand: FED policy was better than you think",NA,NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0820601&site=ehost-live","When enough agents do not participate in asset markets, the slope of the aggregate demand curve is reversed. Monetary policy should be passive, to ensure equilibrium determinacy and to minimize variations in output and inflation. This paper presents evidence that asset markets participation in the US was limited over the Great Inflation period and the slope of the IS curve had the 'wrong' sign. Our results may help explain the 'Great Inflation' and give optimism for FED policy. If the economy was characterized by a relatively higher degree of financial frictions over that period: (i) policy implied a determinate equilibrium and ruled out sunspot fluctuations; (ii) policy was closer to optimal than conventional wisdom dictates; (iii) responses and variability of macroeconomic variables conditional upon fundamental shocks are close to their estimated counterparts for a wide range of reasonable parameterizations. Notably, 'cost-push' shocks are enough to generate a Great Inflation.","2004",2023-02-13 13:37:42,2023-02-13 13:37:42,NA,"40-pages",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh","Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org","EBSCOhost",NA,NA,NA,NA,NA,"Inflation; Business Fluctuations; Cycles E32; Deflation E31; Price Level; Financial Markets and the Macroeconomy E44; Central Banks and Their Policies E58; Studies of Particular Policy Episodes E65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4850
"ref_04084","DBHK6DNZ","journalArticle",2017,"Lalik, Magdalena","Interactions between fiscal multipliers and sovereign risk premium during fiscal consolidation: model based assessment for the euro area",NA,NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1628939&site=ehost-live","The paper presents a model-based assessment of fiscal multipliers operating in the euro area during the period 2011-2014. The assessment is conditional on two distinct reactions of the sovereign risk premium (either responding endogenously to fiscal shocks or being an exogenous process) and two types of monetary policy (accommodative and non-accommodative). Applying those multipliers to the amount of austerity measures implemented in years 2011-14, the paper evaluates their possible fallouts and shows that the output effects of the recent fiscal consolidations were largely determined by two key factors: financial markets' sentiments and the composition of adopted measures. Finally, the paper also highlights the importance of modelling of government's interest payments for predicting the evolution of debt-to-GDP ratios.","2017",2023-02-13 13:37:00,2023-02-13 13:37:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh","Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org","EBSCOhost",NA,NA,NA,NA,NA,"Business Fluctuations; Cycles E32; Macroeconomic Issues of Monetary Unions F45; Government and the Monetary System; Monetary Systems; Payment Systems E42; Regimes; Standards; International Policy Coordination and Transmission F42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3933
"ref_00306","EHTRMMWA","journalArticle",2021,"Shambaugh, Jay C.; Strain, Michael R.","The Recovery From The Great Recession: A Long, Evolving Expansion",NA,NA,NA,NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1906120&site=ehost-live","Prior to 2020, the Great Recession was the most important macroeconomic shock to the United States economy in generations. Millions lost jobs and homes. At its peak, one in ten workers who wanted a job could not find one. On an annual basis, the economy contracted by more than it had since the Great Depression. A slow and steady recovery followed the Great Recession's official end in the summer of 2009, but because it was slow and the depth of the recession so deep, it took years to reduce slack in labor markets. But because the slow-and-steady recovery lasted so long, many pre-recession peaks were exceeded, and eventually real wage growth began to accumulate for workers across the distribution. In fact, the business cycle (including recession and recovery) beginning in December 2007 was one of the better periods of real wage growth in many decades, with the bulk of that coming in the last years of the recovery. We place the Great Recession in historical context and trace the path of the recovery, studying its different phases and how different groups of workers were impacted in each phase. We also discuss the response of fiscal and monetary policy to the Great Recession, and draw lessons for the future.","2021",2023-02-13 13:34:25,2023-02-13 13:34:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh","Availability Note: Information provided in collaboration with the RePEc Project: http://repec.org","EBSCOhost",NA,NA,NA,NA,NA,"Intergenerational Income Distribution; Unemployment; Wages; Employment; Aggregate Human Capital; Aggregate Labor Productivity E24; Macroeconomic Policy, Macroeconomic Aspects of Public Finance, and General Outlook: General E60; Prices, Business Fluctuations, and Cycles: General (includes Measurement and Data) E30; Wages, Compensation, and Labor Costs: General J30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301
"ref_11029","IB93WUWS","journalArticle",2020,"Mahrous, Sherif Nabil; Samak, Nagwa; Abdelsalam, Mamdouh Abdelmoula M.","The effect of monetary policy on credit risk: evidence from the MENA region countries","Review of Economics and Political Science",NA,"2631-3561","10.1108/REPS-07-2019-0099","https://doi.org/10.1108/REPS-07-2019-0099","Purpose The purpose of this paper is to explore the effect of monetary policy on bank risk in the banking system in some MENA countries. It explores how some economic and credit indicators affect the level of risk in the banking sector. It combines many factors that could affect banks’ risk appetite such as macroeconomic conditions, banks’ credit size and lending growth. The authors use nonperforming loans as a proxy for banking sector risks. At first, the authors have analyzed the linear relationship between monetary policy and credit risk. As mentioned above, nonlinearity is expected in the underlying relationship, and, thus, they have investigated the nonlinear relationship to deeply analyse the relationship using the dynamic panel threshold model, as stimulated by Kremer et al. (2013). Threshold models have gained a great importance in economics and finance for modelling nonlinear behaviour. Threshold models are useful in showing the turning points in the behaviour of financial and economic indicators. This technique has been applied in this study to study the effect of monetary policy on credit risk. Design/methodology/approach This paper is divided into the following sections: Section 2 which previews the recent literature; Section 3 which includes some stylized facts about the relationship between credit risk and monetary policy; Section 4 which deals with the model and methodology; Section 5 which handles the data sources and discusses the results, and finally Section 6 which is the conclusion. The paper adopts dynamic panel threshold model of Kremer et al. (2013). Findings The results show that the relationship between monetary policy and credit risk is positive and significant to a certain threshold, 6.3. If the lending interest rate is higher than 6.3, this increases the credit risk in the banking sector, because increasing the lending interest rate imposes huge burdens on the borrowers, and, therefore, the bad loans and nonperforming loans become more likely. Thus, the MENA countries need to decrease the lending interest rate to be less than 6.3 to reduce the effect of monetary policy on credit risk. Further, these results are qualitatively robust regarding the inclusion of additional control variables, using alternative threshold variables and further endogeneity checks of the credit risk, such as Risk premium and the squared term of the lending interest rate. The results of taking the risk premium and the squared term of the lending interest rate as a threshold served the analysis and confirmed the positive relationship between monetary policy and credit risk above a certain threshold. As for the risk premium, the relationship below the threshold was negative and significant. Other related research points might be a good avenue for the future research such as applying this approach to micro data of banks from different MENA countries. Also, more sophisticated approaches like time-varying panel approach to assess the relationship over the time can be applied. Originality/value The importance of this paper lies in the fact that it does not only study the effect of time, but it also focuses on the panel data about some economic and credit indicators in the MENA region for the first time. This is because central banks in the MENA region have common characteristics and congruous level of economic growth. Therefore, to study how the monetary policy affects those countries’ credit risks in their lending policies, this requires careful analysis of how the central banks in this region might behave to control default risks.","2020-01-01",2023-03-16 15:48:43,2023-03-16 15:48:43,1678464508,"289-304",NA,"4","5",NA,NA,"The effect of monetary policy on credit risk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emerald Insight",NA,NA,NA,NA,NA,"Monetary policy; Threshold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10505
"ref_00266","4FLHGR32","journalArticle",2021,"Zsurkis, Gabriel; Nicolau, Joao; Rodrigues, Paulo M. M","The Expected Time to Cross a Threshold and Its Determinants: A Simple and Flexible Framework","Journal of Economic Dynamics and Control",NA,"01651889",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1872696&site=ehost-live","In this paper we introduce a flexible framework to estimate the expected time (ET) an outcome variable takes to cross a threshold conditional on covariates. The proposed methodology makes use of the Markovian property and allows us to infer the impacts that covariates have on the ET an outcome variable takes to revert to a value of interest (for instance, its mean) given a specific starting point. An empirical analysis of the response of U.S. unemployment persistence to monetary policy and government spending shocks is provided, contributing to a still limited literature which simultaneously allows for both types of shocks. Our results suggest that unexpected monetary and fiscal expansions seem to have a relevant role in accelerating the pace of unemployment decline towards its natural rate; and that contractionary monetary and fiscal shocks in a context of labor market slack may result in high ETs.","2021-01",2023-02-13 13:34:24,2023-02-13 13:34:24,NA,NA,NA,NA,"122",NA,"Journal of Economic Dynamics and Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Intergenerational Income Distribution; Unemployment; Wages; Employment; Aggregate Human Capital; Aggregate Labor Productivity E24; Monetary Policy E52; Fiscal Policy E62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261
"ref_00080","5C3F2B6T","journalArticle",2022,"Funk, Anne Kathrin; Kaufmann, Daniel","Do Sticky Wages Matter? New Evidence from Matched Firm Survey and Register Data","Economica",NA,"00130427",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1975317&site=ehost-live","We study the causal effects of downward nominal wage rigidity after a deflationary monetary policy shock using Swiss data on employee-level contractual wages matched with income and employment from social security register data. We exploit the discontinuity around the origin of the wage growth distribution to compare the outcomes of individuals with wage freezes (treatment group) and small wage cuts (control group) before and after an unexpected decision by the Swiss National Bank leading to a 1% decline of the price level. Locally (that is, near the origin of the wage growth distribution), downward nominal wage rigidities cause a 4.4% decline in income and a 0.7 percentage point increase in the probability of unemployment. In the aggregate, income declines by 0.3% and the probability of unemployment increases by 0.05 percentage points.","2022-07",2023-02-13 13:34:17,2023-02-13 13:34:17,NA,"689-712",NA,"355","89",NA,"Economica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Intergenerational Income Distribution; Unemployment; Wages; Employment; Inflation; Aggregate Human Capital; Aggregate Labor Productivity E24; Deflation E31; Monetary Policy E52; Price Level; Wage Differentials J31; Wage Level and Structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
"ref_06873","T8C29Z3L","journalArticle",2006,"Berument, Hakan; Froyen, Richard T.","Monetary policy and long-term US interest rates","Journal of Macroeconomics",NA,"0164-0704","10.1016/j.jmacro.2005.02.004","https://www.sciencedirect.com/science/article/pii/S0164070406000450","This paper assesses the effect of federal funds rate innovations on longer-term US nominal interest rates across different periods. The evidence suggests that these responses change with changes in the monetary policy regime. Time periods considered are pre- and post-1979 and different Federal Reserve Chairman’s tenure. The response of longer-term interest rates to federal funds rate innovations are shown to be smaller and less persistent in the post-1979 period when the Federal Reserve placed more emphasis on inflation.","2006-12-01",2023-03-16 15:33:19,2023-03-16 15:33:19,1677094861,"737-751",NA,"4","28",NA,"Journal of Macroeconomics",NA,NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,"ScienceDirect",NA,NA,NA,NA,NA,"Monetary policy; Long-term interest rates; Time variation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6483
"ref_08109","HZW23PVP","journalArticle",2019,"Siami-Namini, Sima; Hudson, Darren; Trindade, Adao Alexandre; Lyford, Conrad","Commodity price volatility and U.S. monetary policy: Commodity price overshooting revisited","Agribusiness",NA,"1520-6297","10.1002/agr.21564","https://onlinelibrary.wiley.com/doi/abs/10.1002/agr.21564","Commodity price volatility has created concerns for central bank policy-makers. Recent commodity prices peaked in the consequences of the financial crisis of 2007, and they have remained relatively volatile since. As they are often seen as being connected in a cause and effect relationship with inflation and real output, the driving forces behind commodity price volatility are necessary for the conduct of monetary policy. Using an autoregressive moving average with an exponential generalized autoregressive conditional heteroscedastic (ARMA-EGARCH) process, we extract the conditional variance series to find volatility spillover between monetary policy and commodity price index. The findings show that the volatility of agricultural commodity price index and other commodities price indices overshoot the long-run equilibrium price in response to an impulse in monetary policy.","2019",2023-03-16 15:38:11,2023-03-28 08:53:10,1678205240,"200-218",NA,"2","35",NA,NA,"Commodity price volatility and U.S. monetary policy",NA,NA,NA,NA,NA,NA,"en",NA,NA,NA,NA,"Wiley Online Library",NA,NA,NA,NA,NA,"ARMA-EGARCH model; commodity prices; monetary policy; overshooting hypothesis; VECM approach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7692
"ref_02872","LSULFX9L","journalArticle",2014,"Heidari, Hassan; Bashiri, Sahar; Davoudi, Narmin","Asymmetric Effects of Inflationary Shocks on Inflation Uncertainty in Iran","Actual Problems of Economics",NA,"19936788",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1445700&site=ehost-live","This paper investigates the relationship between inflationary shocks and inflation uncertainty using monthly Iranian data for the period of 1990-2011 by applying TGARCH and EGARCH models. The results show that negative inflationary shocks have less effect on inflation uncertainty as compared with the positive ones. Our results are robust to the choice of the distribution of the error term and the form in which the time varying variance enters the specification of the mean. Moreover, this paper presents a new statistical explanation for Iranian economic asymmetry.","2014",2023-02-13 13:36:08,2023-02-13 13:36:08,NA,"542-552",NA,"3","153",NA,"Actual Problems of Economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Inflation; Deflation E31; Monetary Policy E52; Price Level; Macroeconomic Analyses of Economic Development O11; Fiscal and Monetary Policy in Development O23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2771
"ref_04602","UGD5WDST","journalArticle",1999,"Choi, Woon Gyu","Asymmetric Monetary Effects on Interest Rates across Monetary Policy Stances","Journal of Money, Credit, and Banking",NA,"00222879",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=0505665&site=ehost-live","This paper provides new evidence that the interest rates response to a money supply shock varies across the state of the monetary policy stance. The state is assigned to one of the tight, neutral, and loose regimes based on an estimated policy stance index. The results of threshold vector autoregression analysis imply that pure liquidity and expected inflation effects vary across regimes with agents' reactions to policy. The results exhibit a persistent, dominating liquidity effect under the neutral and loose regimes but a reversed liquidity effect after a short lag under the tight regime.","1999-08-01",2023-02-13 13:37:22,2023-02-13 13:37:22,NA,"386-416",NA,"Query date: 2023-02-07 14:26:29","31",NA,"Journal of Money, Credit, and Banking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eoh",NA,"EBSCOhost",NA,NA,NA,NA,NA,"Interest Rates: Determination, Term Structure, and Effects E43; Monetary Policy E52; Central Banks and Their Policies E58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4420
