Category,Variable,Description,Type,Entries,json,source,Coding_instruction
estimation_method,dyn_ols,"Indicates if a dynamic ols model, such as an autoregressive distributed lag model, is used for estimation.",factor,ardl  ecm false,TRUE,study,https://github.com/META-CMP/data/issues/25
estimation_method,fvar,Indicates if a factor-augmented VAR model is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/81
estimation_method,tvar,Indicates if a time-varying parameter VAR models is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/108
estimation_method,gvar,Indicates if a global VAR model (no panel) is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/109
estimation_method,bayes,Indicates if a Bayesian approach is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/110
estimation_method,dsge,Indicates if a dynamic stochastic general equilibrium (DSGE) model is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/32
estimation_method,varother,Indicates if an other VAR approach is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/111
regime_dependence,lor,Indicates that the effect is estimated for a 'downswing' or 'recession' regime.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/196
regime_dependence,upr,Indicates that the effect is estimated for an 'upswing' or 'boom' regime.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/197
regime_dependence,scr,Indicates that the effect is estimated for a supply-constrained regime.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/198
regime_dependence,dcr,Indicates that the effect is estimated for a demand-constrained regime.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/199
regime_dependence,hike,Indicates that the effect is estimated for an interest rate hike only.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/200
regime_dependence,cut,Indicates that the effect is estimated for an interest rate cut only.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/201
data_frequency,annual,Annual data is used for effect estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/15
data_frequency,quarter,Quarterly data is used for effect estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/15
data_frequency,month,Monthly data is used for effect estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/15
country_composition,list_of_countries,ISO 2 codes of the countries for which the effect is estimated.,string,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/65
country_composition,n_of_countries,Number of countries used in the estimation sample of the model.,numeric,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/113
further_data_characteristics,panel,Indicates if a panel data method (e.g. panel VAR) is used for estimation.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/66
further_data_characteristics,start,Start date of the sample that is used for estimation.,string,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/42
further_data_characteristics,end,End date of the sample that is used for estimation.,string,See coding_instruction,TRUE,study,https://github.com/META-CMP/data/issues/42
further_data_characteristics,samplesize,Sample size for estimation.,numeric,See coding_instruction,TRUE,study/own_calculation,https://github.com/META-CMP/data/issues/22
control_variables,comprice,Indicates that a commodity price variable is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/88
control_variables,outpgap,Indicates that a measure for the output gap is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/114
control_variables,find,Indicates that a variable for financial development is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/54
control_variables,eglob,Indicates that a measure of economic globalisation is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/55
control_variables,cbind,Indicates that central bank independence is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/115
control_variables,fexch,Indicates that the exchange rate regime is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/116
control_variables,inflexp,Indicates that inflation expectations are included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/117
control_variables,foreignir,Indicates that a foreign interest rate is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/89
control_variables,fx,Indicates that a exchange rate is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/118
control_variables,lrir,Indicates that a long-run interest rate is included as a control variable.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/119
econometric_details,pure_rate_shock,Indicates that the monetary policy shock is explicitly defined in terms of the interest rate.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/70
econometric_details,convent,Indicates that the monetary policy shock is explicitly defined in terms of a conventional monetary policy shock.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/80
econometric_details,decomposition,Indicates that the monetary policy shocks have been decomposed into different components.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/85
external_controls,ext_fexch,Indicates the exchange rate regime of the country for which the model is estimated.,factor,NA,FALSE,public_database,NA
external_controls,ext_infl,Average inflation rate over the sample period for which the output coefficient was estimated,numeric,NA,FALSE,public_database,NA
external_controls,ext_inflvar,"Inflation variability, standard deviation inflation over time",numeric,NA,FALSE,public_database,NA
external_controls,ext_topen,Average trade openness over the sample period (KOF index),numeric,NA,FALSE,public_database,NA
external_controls,ext_fopen,Average financial openness over the sample period,numeric,NA,FALSE,public_database,NA
external_controls,ext_gdppc,Average GDP per capita over the sample period,numeric,NA,FALSE,public_database,NA
external_controls,ext_fdev,Average financial development over the sample period (domestic credit to private sector in % of GDP),numeric,NA,FALSE,public_database,NA
external_controls,ext_cbind,Average central bank independence over the sample period (index),numeric,NA,FALSE,public_database,NA
external_controls,ext_unem,Average unemployment rate over the sample period,numeric,NA,FALSE,public_database,NA
external_controls,ext_supply,"Share of years which are supply constrained, or with supply price shocks",numeric,NA,FALSE,public_database,NA
publication_characteristics,citat,Number of citations (Ehrenbergerova et al. 2022 use google scholar citations within the first three years p.17),numeric,NA,FALSE,public_database,NA
publication_characteristics,impact,Journal impact factor,numeric,NA,FALSE,public_database,NA
publication_characteristics,cbanker,Indicates that there is an institutional affiliation of one of the authors and/or the publication format with central banks.,logical,true; false,TRUE,study,https://github.com/META-CMP/data/issues/58
reason_for_exclusion,reason_for_exclusion,Reason for exclusion after full text screening for definition see: https://github.com/META-CMP/data/issues/37,factor,See coding_instruction,FALSE,researcher,https://github.com/META-CMP/data/issues/37
