record_id,label,key,item type,publication year,author,title,publication title,isbn,issn,doi,url,abstract note,date,date added,date modified,access date,pages,num pages,issue,volume,number of volumes,journal abbreviation,short title,series,series number,series text,series title,publisher,place,language,rights,type,archive,archive location,library catalog,call number,extra,notes,file attachments,link attachments,manual tags,automatic tags,editor,series editor,translator,contributor,attorney agent,book author,cast member,commenter,composer,cosponsor,counsel,interviewer,producer,recipient,reviewed author,scriptwriter,words by,guest,number,edition,running time,scale,medium,artwork size,filing date,application number,assignee,issuing authority,country,meeting name,conference name,court,references,reporter,legal status,priority numbers,programming language,version,system,code,code number,section,session,committee,history,legislative body,matches,included,exported_notes_1,asreview_ranking
9391,ref_10263,C48SVT6Q,journalArticle,2014.0,"Bolaji, A",Dynamics of Monetary Policy and Output Nexus in Nigeria,,,,,,"This paper critically examines the dynamic interaction between monetary policy tools in stimulating economic growth, as well as stabilizing the economy from external shocks in Nigeria. The paper considered key monetary time series variables and real growth of output in formulating Vector Autoregressive (VAR) models which showed interdependence interaction between the period of 1970 and 2007. The time series properties of the selected variables are examined using the Augmented Dickey-Fuller unit root test and the results revealed that only growth of real output and broad money supply are stationary at levels, while saving, lending and exchange rates were found stationary at first difference. The long-run dynamic interaction was established through the Johansen’s Trace and Maximum Eigenvalue tests. The pair-wise Granger-Causality test conducted showed that the growth rate of real output is not a leading indicator for any monetary variables. Other innovation accounting tests were also carried out like impulse responses function to test for the response of growth in real output to innovation shock on monetary variables. Also, the forecast error variance decomposition (FEVD) is used to decompose the monetary shock on the growth rate of real output in Nigeria. Proper policy recommendations were proffered based on the results emanated from the econometric analyses.",2014,2023-03-16 15:46:00,2023-03-16 15:46:00,,,,,,,,,,,,,,,en,,,,,Zotero,,,,,https://core.ac.uk/download/pdf/234681788.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9776,1,221,339
10110,ref_11117,5AFEVUJA,journalArticle,2011.0,"Saibu, O. M.; Nwosa, P. I.",Effects of Monetary Policy on Sectoral Output Growth in Nigeria (1986 to 2008),,,,,https://ir.unilag.edu.ng/handle/123456789/9991,"This study examines the effects of monetary policy on sectoral output growth in Nigeria over the period 1986:1 to 2008:4. The study utilized an Autoregressive Distributed lag (ARDL) model and the findings showed that manufacturing sector is not sensitive to any of the monetary policy variables. In sharp contrast with manufacturing sector, agricultural sector is responsive to changes in interest rate only while service and wholesale/retail economic activities are responsive to exchange rate. Furthermore, interest rate and exchange rate are the major determinants of mining output growth while building/construction sector is more responsive to changes in exchange rate and bank credit. In general exchange rate is the most important and influential monetary policy measure in Nigeria. The study concludes that monetary policy will be more effective if the inherent differences in these sectors are factor in the design of policies in Nigeria.",2011,2023-03-16 15:48:58,2023-03-16 15:48:58,1678472719.0,,,,,,,,,,,,,,en,,,,,ir.unilag.edu.ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10588,1,222,340
9437,ref_10318,CIAXHSW2,journalArticle,2013.0,"Tolulope, Apanisile Olumuyiwa",A Bound Test Analysis of Effects of Monetary Policy Shocks on Output and Prices in Nigeria 2000-2010,Journal of Economics and Behavioral Studies,,2220-6140,10.22610/jebs.v5i3.388,https://ojs.amhinternational.com/index.php/jebs/article/view/388,"The study examined the effects of monetary policy shocks on output and prices in Nigeria. This is done through an empirical analysis of the effects of anticipated and unanticipated monetary policies on output and prices. Quarterly data from 2000:1 to 2010:4 were used. The long-run ARDL estimates indicate positive and significant effects of anticipated monetary policy on output and prices while unanticipated monetary policy was insignificant. Thus, the findings provide a significant departure from the existing diversity of evidences of empirical literature on the monetary policy actions and macroeconomic variables nexus. The study therefore suggested the use of a one fit for all policy instrument in stimulating output growth and prices in the economy rather than using one specific measure which could lead to the failure of monetary policy in Nigeria.",2013-03-30,2023-03-16 15:47:02,2023-03-16 15:47:02,1678448383.0,136-147,,3,5,,,,,,,,,,en-US,,,,,ojs.amhinternational.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9827,1,221,341
628,ref_00553,7YPWF9IY,journalArticle,2019.0,"Shokr, Mohamed Aseel; Karim, Zulkefly Abdul; Zaidi, Mohd Azlan Shah",Monetary Policy and Macroeconomic Responses: Non-recursive SVAR Study of Egypt,Journal of Financial Economic Policy,,17576385,10.1108/JFEP-07-2018-0103,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1789456&site=ehost-live,"Purpose: This paper aims to examine the effects of monetary policy and foreign shocks on output, inflation and exchange rate in Egypt. Design/methodology/approach: This paper studies the effects of monetary policy and foreign shocks on output, inflation and exchange rate by using non-recursive SVAR model and quarterly data. Findings: First, the empirical results reveal that monetary policy shocks, through changes in interest rate or money supply, have a significant effect on output, inflation and exchange rate in Egypt. Second, the world oil prices and foreign output have significant impacts on output, inflation and exchange rate in Egypt, while the foreign interest rate has a significant effect on domestic output and inflation.",2019,2023-02-13 13:34:35,2023-02-13 13:34:35,,319-337,,Query date: 2023-02-08 13:47:29,11,,Journal of Financial Economic Policy,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Inflation; Deflation E31; Foreign Exchange F31; Macroeconomics: Production E23; Monetary Policy E52; Price Level; Macroeconomic Analyses of Economic Development O11; Fiscal and Monetary Policy in Development O23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,1,111,342
9181,ref_10026,846YJKNL,journalArticle,2022.0,"Goshit, Gideon G.; Jelilov, Gylych; Iorember, Paul Terhemba; Celik, Bilal; Davd-Wayas, Onyinye Maria",Asymmetric effects of monetary policy shocks on output growth in Nigeria: Evidence from nonlinear ARDL and Hatemi-J causality tests,Journal of Public Affairs,,1479-1854,10.1002/pa.2449,https://onlinelibrary.wiley.com/doi/abs/10.1002/pa.2449,"Given the importance of output growth in Nigeria and the need for monetary policy decisions to be guided by the knowledge of the asymmetric effects of positive and negative monetary policy shocks, this study investigates the asymmetric effects of monetary policy shocks on output growth in Nigeria using quarterly data from 1981Q1 to 2018Q4. The study employs the recently developed Lee and Strazicich unit root test with structural breaks, Nonlinear ARDL, and the Hatemi-J causality tests. The result reveals the presence of long-run and short-run asymmetries in the effect of monetary policy shocks on output growth in Nigeria. The results of the long-run effect show that both positive and negative monetary policy rate shocks have positive, elastic, and statistically significant effect on output growth. For the short-run, the results indicate that the effect of negative monetary policy shocks dominate the effects of positive monetary policy rate shocks, while the effect of positive money supply shocks dominates the effect of negative money supply shocks. Furthermore, the study finds evidence in support of the expansionary monetary policy in the long-run. Hence, the recommendations for expansionary monetary policy decision to enhance output growth.",2022,2023-03-16 15:45:16,2023-03-16 15:45:16,1678378483.0,e2449,,2,22,,,Asymmetric effects of monetary policy shocks on output growth in Nigeria,,,,,,,en,,,,,Wiley Online Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9550,1,111,343
10608,ref_11680,RGNAPU63,journalArticle,2017.0,"Aa, Ogundipe; Oa, Uzoma; Ee, Bowale",Monetary Policy Shocks and Manufacturing Sector Output in Nigeria: A Structural Var-Approach,The Journal of Internet Banking and Commerce,,1204-5357,,https://www.icommercecentral.com/peer-reviewed/monetary-policy-shocks-and-manufacturing-sector-output-in-nigeria-a-structural-varapproach-85899.html,"Over the years, the manufacturing sector has responded relatively low compared to other sectors such as services, agriculture, crude petroleum and natural gas despite its huge potential and various policies proposed towards a growth in the sector. This study investigated the effect of monetary policy on the manufacturing sector output in Nigeria using a quarterly data from 1981 to 2015 employing the structural vector autoregressive(SVAR) framework. An eight variable SVAR for manufacturing sector output was employed. The study examined the effect of monetary policy using the four monetary transmission mechanism channels and included a fiscal policy variable as well as labor and capital in the model. The short-run SVAR showed that only monetary policy rate and money supply conformed to theory. The impulse response functions showed that all monetary variables as well as other variables with the exception of government expenditure conformed to economic theory. One major finding of the study is that the lending interest rate accounted for the biggest variance in the manufacturing contribution to gross domestic product as shown by the forecast error variance decomposition. The study recommends that the monetary authority should ensure that the lending interest rate to the manufacturing sector is within a single digit, accessible, affordable and sustainable so as to ensure a greater productivity in the sector",2017-05-18,2023-03-27 14:47:47,2023-03-27 14:47:47,1678549783.0,1-22,,,,,,Monetary Policy Shocks and Manufacturing Sector Output in Nigeria,,,,,,,en,,,,,www.icommercecentral.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11124,1,112,344
7833,ref_08425,2IL8YWF8,journalArticle,2021.0,"Adeagbo, Mathew Oluwaseun",Monetary policy and economic growth nexus in Nigeria,Ianna Journal of Interdisciplinary Studies,,2735-9891,,https://iannajournalofinterdisciplinarystudies.com/index.php/1/article/view/64,"Background: The extent to which monetary policies influenced macroeconomic variables especially price stability and ultimately economic growth has been a theme of discussion among scholars over the years, with no solid position. This non-definite stand thus beckons for more research on the issue. Objective: This study sought to examine the effect of monetary policy on economic growth in Nigeria. Methodology: Annual data sourced from Central Bank of Nigeria Statistical Bulletin covering the period 1971 to 2018. The data collected were analyzed using Ordinary Least Square method. The study also conducted the unit root and cointegration test to ascertain the fitness of the model. Result: Long-run relationship exists among the variables and that some explanatory variables (Monetary policy rate, Interest rate, Investment to productive sector) presents a positive but non-significant effect on economic growth while real exchange rate has a negative impact on economic growth in Nigeria. However, monetary supply, which is another explanatory variable has a positive significant effect on economic growth. Conclusion: On the overall, monetary policy is found to explain about 89% of the changes in economic growth in Nigeria. Unique contribution: The study includes monetary policy rate which serves as the main tool of monetary policy targets and as well use GDP growth rate which is believed to be an adequate measure of economic growth as against ordinary GDP. This study also replaced external reserves and output of industrial production with investment since investment is theoretically postulated to have a direct influence from interest rates (both lending and deposit), which CBN monetary policy rates have a direct influence on. Key Recommendation: The study recommends that government and relevant monetary authorities should make financial sector less volatile and ensure the effective monitoring of money supply levels, among others.",2021-10-01,2023-03-16 15:39:31,2023-03-16 15:39:31,1678274077.0,92-103,,2,3,,,,,,,,,,en,,,,,iannajournalofinterdisciplinarystudies.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7998,1,111,345
7066,ref_07548,ABBN4SSI,journalArticle,2019.0,"Ltd, ICB-InterConsult Bulgaria",Monetary Policy and Economic Growth in Nigeria: An Ardl-Bound Testing and ECM Approach,"European Journal of Economics, Law and Politics",,2518-3761,,https://www.ceeol.com/search/article-detail?id=820527,"The aim of this study is to examine the relationship between monetary policy and economic growth in which the past studies have shown conflicting results in Nigeria. Data was collected from the Central Bank of Nigeria Statistical Bulletin from 1990 to 2017 and Autoregressive Distributed Lag (ARDL) model and Error Correction Model (ECM) were utilized to address the objective of the study. Consequently, the result of ECM term indicates that about 16% of the total disequilibrium in the previous year due to shock was corrected in the current year. There is a significant negative relationship between exchange rate and economic growth in the short run. Also, there is a significant positive relationship between monetary policy rate and economic growth in the short run. In addition, economic growth and credit reserve ratio have a negative relationship in both short run and long run. Economic growth and inflation rate have a significant positive relationship in both short run and long run. Therefore, this study makes the following recommendations for the policy makers and future researchers in Nigeria: the policy makers in Nigeria should increase the level of broad money supply in the country since both the broad money supply and inflation lead to economic growth in the short run and the long run. Also, the apex bank in Nigeria should embark on the use of appropriate monetary policy variables that will address non-performance of credit requirement ratio, monetary policy rate and exchange rate in contributing to the nation`s economic growth.",2019,2023-03-16 15:36:06,2023-03-16 15:36:06,1677456000.0,1-11,,4,6,,,Monetary Policy and Economic Growth in Nigeria,,,,,,,English,,,,,www.ceeol.com,,,,,,Monetary Policy; ECM; Economic Growth: ARDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7139,1,111,346
6496,ref_06884,VUXDCL7Y,journalArticle,2018.0,"Ekong, Uduak Michael; Ukoha, Obasi O.",Monetary policy pass-through in Nigeria: An ARDL bound testing approach,Atlantic Review of Economics (ARoEc),,2174-3835,,https://www.econstor.eu/handle/10419/213792,"The paper investigates on the lingering issue of monetary policy transmission from the perspective of Nigeria from 1980 to 2016. Applying a two way techniques of Vector Autoregression and Autoregressive Distributed Lag, we found that (1) jointly considered, monetary policy does not have any long run relationship with economic activity. (2) credit transmission channel is ineffectual in monetary policy transmission in Nigeria. (3) money supply, interest rate and the exchange rate channels are positive channels of monetary policy transmission in Nigeria. Key policy recommendations were monetary policy approach that is more fiscal in nature and instrument specific policies for economic specific issues to grow the country above recessionary growth trajectory.",2018,2023-03-16 15:33:20,2023-03-16 15:33:20,1677094882.0,,,2,1,,,Monetary policy pass-through in Nigeria,,,,,,,eng,,,,,www.econstor.eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6494,1,221,347
10640,ref_11717,G4F2G77I,journalArticle,2016.0,"Abubakar, Jamaladeen; Sivagnanam, Kathirvelan Jothi",Monetary Policy Disturbance in Nigeria: What Puzzles? Price or Output,,,,10.2139/ssrn.2882736,https://papers.ssrn.com/abstract=2882736,"This study examined empirically the relationships between money, price and output in Nigeria. Time series data for monetary policy variables (BM, MPR, M1 and M2), Inflation (GDP deflator and CPI inflations) and real GDP was collected from Central Bank of Nigeria’s statistical bulletin from 1981:Q1 to 2013:Q4. The study was carried out in three folds: firstly, the estimation of the short run relationship between money, price and output using correlation coefficient. The evidence shows a positive and significant correlation between money and output but negative and insignificant relation between money and price. Secondly, the study examined the nature of the short run causation between output and money using Granger causality test. The result reveals that money cause output and not the other way. Finally, the impact of monetary policy shock on price and output was estimated using structural vector autoregressive model (SVAR), the empirical evidence reveals the existence of puzzling relationship between monetary policy shock and output in Nigeria.",2016-05-09,2023-03-27 14:47:49,2023-03-27 14:47:49,1678550464.0,,,,,,,Monetary Policy Disturbance in Nigeria,,,,,,,en,,,,,Social Science Research Network,,"Place: Rochester, NY",,,,SVAR; Monetary Policy Disturbance; Price and Output Puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11161,1,221,348
7057,ref_07539,S9VRXKY5,journalArticle,2021.0,"Ltd, ICB-InterConsult Bulgaria",MONETARY POLICY SHOCKS AND ECONOMIC GROWTH IN NIGERIA,"Journal of Public Administration, Finance and Law",,2285-2204,,https://www.ceeol.com/search/article-detail?id=1073819,"This study examines monetary policy shocks and economic growth in Nigeria. This study following ex post facto research design employed a regression model where economic growth was the dependent variable while money supply, inflation and interest rate were the explanatory variables. Time series data over the period of 1986 to 2018 sourced from Central Bank of Nigeria (CBN) Statistical Bulletin and World Bank Development Index (WDI) was utilized. The study employed the Vector Autoregression (VAR) techniques in the analysis. The result of the vector autoregression estimation shows that money supply exert a significant positive effect on economic growth in Nigeria while inflation and interest rate exert an insignificant positive effect on economic growth in Nigeria. The result proves that monetary policy shocks exert a significant effect on economic growth in Nigeria while interest rate and inflation do not show any effect. It was recommended that the CBN should ensure the downward review of the Monetary Policy Rate of 12% to 9 percent so as to enhance more financial accessibility.",2021,2023-03-16 15:36:05,2023-03-16 15:36:05,1677456000.0,246-258,,22,10,,,,,,,,,,English,,,,,www.ceeol.com,,,,,,monetary policy; economic growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7130,1,111,349
8512,ref_09267,F774KAQH,journalArticle,2021.0,"Islam, Md. Sayemul; Hossain, Md. Emran; Chakrobortty, Sudipto; Ema, Nishat Sultana",Does the monetary policy have any short-run and long-run effect on economic growth? A developing and a developed country perspective,Asian Journal of Economics and Banking,,2633-7991,10.1108/AJEB-02-2021-0014,https://doi.org/10.1108/AJEB-02-2021-0014,"Purpose The study aims to empirically examine the relationship between monetary policy and economic growth, as well as to explore the long-run and the short-run effect of monetary policy on the economic growth of a developing country (Bangladesh) and a developed country (the United Kingdom). Design/methodology/approach Depending on data availability, the study employed secondary data covering the period of 1980–2019. The augmented Dickey–Fuller test and the Phillips–Perron test were used for the stationarity test. Further, the F-bounds test was run to justify the long-run relationship between monetary policy and economic growth. Thereafter, long-run coefficients were revealed from the auto-regressive distributed lag (ARDL) model and short-run coefficients from the error correction model. Furthermore, the vector error correction model (VECM) Granger causality approach was employed to demonstrate the causality of studied variables. Lastly, different diagnostics tests ensured the robustness of the models. Findings F-bounds test outcomes suggest that monetary policy has a long-run relationship with economic growth in both countries. Long-run coefficients revealed that money supply has a positive long-run impact on economic growth in both countries. Unlike the UK, the exchange rate exhibits an adverse effect on the economic growth of Bangladesh. The bank rate seems to promote economic growth for the UK. Findings also depict that increase in lending interest rates hurts the economic growth for both countries. Besides, the short-run coefficients portray random effects at different lags in both cases. Lastly, causality among studied variables is revealed using the VECM Granger causality approach. Originality/value The novelty of this study lies in consideration of both developing and developed countries in the same study.",2021-01-01,2023-03-16 15:42:49,2023-03-16 15:42:49,1678233600.0,26-49,,1,6,,,Does the monetary policy have any short-run and long-run effect on economic growth?,,,,,,,,,,,,Emerald Insight,,,,,,Monetary policy; Granger causality; Economic growth; Bangladesh; ARDL model; United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8811,1,111,350
7011,ref_07492,NKGWS667,journalArticle,2022.0,"Victor, Jane; Iheukwumere, Ikechi Victor; Ogonda, Gift Orokwele",Analysis of the Impact of Monetary Policy on the Nigerian Economic Growth,,,,10.2139/ssrn.4142494,https://papers.ssrn.com/abstract=4142494,"Monetary policy is an economic management technique used to bring sustainable economic growth and development in a given economy which has been a pursuit of nations. This has been mainly on how the money affects economic aggregates dates back the time of Adam Smith and later championed by the monetary economists. One of the major objectives of the monetary policy in Nigeria is economic growth using money supply and inflation control (price stability) as a measure; but despite the various monetary regimes that have been adopted by the Central Bank of Nigeria over the years, inflation still remains a major threat to Nigeria’s economic growth. And it is on this premise that we want to analyze the impact of monetary policy on the Nigeria’s economic growth from 1981 to 2021. This study used secondary data sourced from Central Bank of Nigeria Statistical Bulletin (2021) in its analysis. The study employed Autoregressive Distributed Lag (ARDL) bound co-integration to estimate the short run and long run impact of the monetary policy on economic growth in Nigeria which showed a long run relationship. Further estimation result showed that monetary policy impacted on the Nigeria’s economic growth. The study acclaims that central bank should place more emphases on the quality-based nominal anchor (M2) for managing instruments like liquidity ratio, reserve ratio, transaction on treasury bills which directly affect the monetary aggregate. Direct manipulation of interest rates other than the money supply should be a better monetary policy tool to impact on the real variables of the Economy and less emphasis should be placed on the use of interest rate because it had negative but insignificant impact on the economic growth.",2022-06-21,2023-03-16 15:35:34,2023-03-16 15:35:34,1677456000.0,,,,,,,,,,,,,,en,,,,,Social Science Research Network,,"Place: Rochester, NY",,,,Monetary Policy; Impact; Analysis; Economic Growth and Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7084,1,221,351
9365,ref_10233,H7M4REFT,journalArticle,2021.0,"Iorember, Paul Terhemba; Jelilov, Gylych; Alymkulova, Nargiza; Gbaka, Solomon",Analysis of the impact of monetary policy shocks on domestic output growth in Nigeria: evidence from dynamic ARDL and VECM tests,International Journal of Public Policy,,1740-0600,10.1504/IJPP.2021.121955,https://www.inderscienceonline.com/doi/abs/10.1504/IJPP.2021.121955,"The study analyses the impact of monetary policy shocks on domestic output growth in Nigeria from 1981 to 2019, using ARDL and VECM Granger causality. Employing three monetary policy variables of interest rate, broad money supply and exchange rate, the empirical results establish that shocks in money supply have positive impact on domestic output growth in the long-run, while shocks in interest rate and exchange rate have negative impact on domestic output growth in the long-run. Furthermore, the results affirm a unidirectional causality from money supply to real gross domestic product, and from real gross domestic product and interest rate to exchange rate in Nigeria. The study recommends that the use of the interest rate channel in pursuing the goal of output growth should be applied with caution, while the money supply tools should be made more vibrant, towards achieving increased domestic output growth.",2021-01,2023-03-16 15:45:58,2023-03-16 15:45:58,1678406400.0,13-25,,1,16,,,Analysis of the impact of monetary policy shocks on domestic output growth in Nigeria,,,,,,,,,,,,inderscienceonline.com (Atypon),,,,,,monetary policy shocks; ARDL; contractionary policy; domestic output; expansionary policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9747,1,111,352
7090,ref_07572,TMCBLT68,journalArticle,2021.0,"Umogun, Daniel Akpofure",THE IMPACT OF MONETARY POLICY ON ECONOMIC GROWTH IN NIGERIA ( 1970-2019),,,,,http://localhost:8080/xmlui/handle/123456789/494,"This study analyzed the impact of money supply on economic growth in Nigeria. Specifically, it assessed the impact of money supply on growth, examined the effect of interest rate on growth , and the impact of exchange rate on Nigeria`s Growth. Annual time series secondary data was used in the study. World Development Indicators (2020, and Penn World Table version 9.0 were used to compile data on real GDP, money supply, level bank reserves , interest rate, inflation, exchange rate and terms of trade. The data was analyzed using econometric methods, namely the Autoregressive Distributed Lag (ARDL) Model. The unit root test, utilizing both the Augmented Dickey-Fuller (ADF) and Phillip and Perron (PP) tests, the lag order of the ARDL models using VAR lag order selection criteria, and the bound test were all carried out. From the results of the study, it was discovered that money supply(MS) has a significant and positive relationship with real GDP in Nigeria. However, interest rate has an insignificant and positive relationship with economic growth while exchange rate was statistically significant and positively related to RGDP in Nigeria. The study concluded that the money supply of Nigeria has been instrumental in aiding economic growth in Nigeria and an increase in the level of money to the various sectors of the economy would increase the level of growth in Nigeria. It is also ascertained that exchange rate is a key indicator for balancing the money value and it also found out high interest rate increases investment, reducing spending or more money in supply",2021,2023-03-16 15:36:07,2023-03-16 15:36:07,1677456000.0,,,,,,,,,,,,,,en,,,,,ir.mtu.edu.ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7163,1,111,353
7072,ref_07554,N5C77VFM,journalArticle,2019.0,"Ibrahim, Victoria",Monetary Policy and Economic Growth in Nigeria: An Autoregressive Distributed Lag (ARDL) Analysis.,Advances in Social Sciences Research Journal,,,10.14738/assrj.63.6273,,"The	 study	 assessed	 the	 impact	 of	 monetary	 policy	 on	 economic	 growth	 in	 Nigeria.	 Three	 objectives	 guided	 the	 study.	 It	 employed	 quarterly	 data	 spanning	 1986:Q1- 2018:Q4,	and	used	the	Autoregressive	Distributed	Lag	(ARDL)	model,	and	the	Granger causality	 test	 to	carry	out	 its	 empirical	 analysis	 and	 achieving	 its	 objectives.	 Findings from	the	study	revealed	that	the	monetary	policy	rate	(MPR)	had	a	positive	impact	on economic	 growth,	 but	 it	 was	 however	 not	 statistically	 significant.	 The	 broad	 money supply	 (M2)	 as	 a	 monetary	 policy	 instrument	 had	 a	 much	 more	 positive	 and	 highly statistically	 significant	 impact	 on	 economic	 growth	 in	 Nigeria.	 As	 such,	 the	 study recommended	 that	 the	 CBN	 should	 embark	 on	 a	 comprehensive	 monitoring	 of monetary	 instruments	 and	 aggregates	 and	 place	 less	 emphasis	 on	 inflation	 targeting (IT)	alone.	It	is	important	to	use	other	instruments	which	the	central	bank	can	control effectively	like	the	broad	money	supply	(M2)	as	it	is	more	effective	on	the	economy.",2019-03-31,2023-03-16 15:36:06,2023-03-16 15:36:06,,,,,6,,Advances in Social Sciences Research Journal,Monetary Policy and Economic Growth in Nigeria,,,,,,,,,,,,ResearchGate,,,,,https://www.researchgate.net/profile/Victoria-Ibrahim-2/publication/335178526_Monetary_Policy_and_Economic_Growth_in_Nigeria_An_Autoregressive_Distributed_Lag_ARDL_Analysis/links/601d5c2c92851c4ed54f7492/Monetary-Policy-and-Economic-Growth-in-Nigeria-An-Autoregressive-Distributed-Lag-ARDL-Analysis.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7145,1,111,354
7048,ref_07530,M5LY3CSW,journalArticle,2022.0,"Abubakar, Ali; Lawal, Sanusi",IMPACT OF MONETARY POLICY ON ECONOMIC GROWTH IN NIGERIA (1986 -2019),Gusau Journal of Business Administration,,2811-1702,,https://gujoba.com.ng/index.php/gujoba/article/view/13,"The growing importance of monetary policy has made its effectiveness in influencing economic growth a priority to most governments. Therefore the study investigates the impact of monetary policy on economic growth in Nigeria from 1986 to 2019, by using interest rate variables for monetary policy and GDP as a proxy for economic growth. The study applied the autoregressive distributive lag (ARDL) model to analyze the data. The result shows that interest rate and domestic credit have a statistically significant impact on economic growth in Nigeria while the exchange rate on the other hand has a statically non-significant effect on economic growth. It is therefore recommends that the central bank of Nigeria should continue to use appropriate monetary policy instruments to support Nigeria’s economic growth taking into account economic and political conditions in the country.",2022-05-04,2023-03-16 15:36:05,2023-03-16 15:36:05,1677456000.0,14-14,,1,1,,,,,,,,,,en,,,,,gujoba.com.ng,,,,,,Importance of Monetary policy; its effectiveness in growths of an economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7121,1,111,355
7055,ref_07537,JJR5E2VY,journalArticle,2021.0,"Shaibu, Ibrahim; Enofe, E. E.",Monetary Policy Instruments and Economic Growth in Nigeria: An Empirical Evaluation,International Journal of Academic Research in Business and Social Sciences,,2222-6990,10.6007/IJARBSS/v11-i5/11304,https://hrmars.com/journals/papers/IJARBSS/v11-i5/11304,"The aim of this study was to investigate the relationship between monetary policy instruments and economic growth in Nigeria using annual time series data from 1986 to 2018. Within this broad objective, the specific objectives were to ascertain the relationship between: (1) crude oil price and economic growth; (2) exchange rate and economic growth; (3) inflation rate and economic growth in Nigeria; (4) interest rate and economic growth in Nigeria; and (5) broad money supply and economic growth in Nigeria. Economic growth was proxied by real gross domestic product growth rate. The data were sourced from the publications of the Central Bank of Nigeria (CBN), Statista.com, and the World Bank. The estimation technique was the ordinary least squares (OLS)-based auto-regressive distributed-lag (ARDL) method with the aid of EViews software. The estimated model was evaluated using some diagnostic tests (serial correlation test, normality test, and stability test). The empirical results showed that only interest rate had a positive (0.42) and significant (10%) impact on economic growth in Nigeria in the short run. In the long run, previous gross domestic product and broad money supply had significant impacts on economic growth in Nigeria. The previous gross domestic product had a negative (-0.72) and significant (10%) impact while broad money supply had a negative (-0.000005) and significant (5%) impact on economic growth in Nigeria. In order to effectively use monetary policy instruments in achieving sustainable economic growth, it was recommended that the monetary authority should develop and implement an expansionary monetary policy capable of creating rapid growth of money supply which would lead to a decrease in interest rate which in turn would lead to increase in aggregate investment. These would lead to an increase in economic growth, if properly implemented.",2021-05-24,2023-03-16 15:36:05,2023-03-16 15:36:05,1677456000.0,Pages-864-880,,5,11,,IJARBSS,Monetary Policy Instruments and Economic Growth in Nigeria,,,,,,,en,,,,,DOI.org (Crossref),,,,,https://pdfs.semanticscholar.org/be5e/a1fa12da55735b1c97da0c655b229145933a.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7128,1,111,356
