"label","id","record_id","key","author","title","publication year","publication title","issue","volume","item type","abstract note","doi","url","bibtexkey","most_recent_version_available","not_available","retracted","duplicate","pdf_source","access_date","personal_id","master_bachelor_thesis","notes_pdf_download","matches"
"ref_0016","1",727,"XVM9IL7N","Jinushi, Toshiki; Takeda, Yosuke; Yajima, Yasuhide","Asset Substitution in Response to Liquidity Demand and Monetary Policy: Evidence from the Flow of Funds Data in Japan",2014,"Kobe University Economic Review","Query date: 2023-02-09 16:27:49",NA,"journalArticle","We empirically investigate asset substitution of economic sectors in response to either liquidity demand or monetary policy shock, using the Japanese flow of funds data. Our interest is in responses of portfolio items of six sectors, financial institutions, central government, public corporations and local government, corporate business, personal, and overseas. It is reasonable to identify both shocks in liquidity demand and monetary policy, using recursive VAR models where the variable ordering is the real GDP, the GDP deflator, the commodity price index, the call rate, the monetary base and each balance-sheet variable. We interpret that structural innovations in the monetary base as liquidity demand shocks and those in the call rate as monetary policy shocks. The responses to either the monetary-policy or liquidity demand shocks are different among sectors, among the transaction items, and between the periods before and after the bubble. Among the sectors, the personal sector exhibits the delayed responses, which are consistent with the limited participation model. The transaction items of the corporate business sector show vivid responses to the shocks. Between the two sub-periods, the stocks held by the financial institutions show clearly different responses.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1521428&site=ehost-live","Jinushi_2014_asset",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"ref_0017","1",10090,"JGBFB6SI","Amir-Ahmadi, Pooyan; Uhlig, Harald","Measuring the Dynamic Effects of Monetary Policy Shocks: A Bayesian FAVAR Approach with Sign Restriction",NA,NA,NA,NA,"journalArticle","We estimate the eﬀects of monetary policy shocks in a Bayesian factor-augmented vector autoregression (BFAVAR). We propose a novel identiﬁcation strategy of imposing sign restrictions directly on the impulse responses of large sets of variables. The key strength of our approach is the additional “bite” due to the diﬀerences in factor loadings across sets of time series representing, say, “prices” or “output”. As an important advantage, our procedure does not require a structural interpretation of the factors themselves or adding observables to the list of factors. We impose the conventional wisdom regarding the responses of prices, monetary aggregates, spreads and interest rates. In response to a one-standard deviation monetary policy shock, we ﬁnd a modest drop in industrial production, reverting within two years, a persistent decline in the CPI, and decreases in yield spreads. By contrast, a standard Cholesky decomposition identiﬁcation of a monetary policy shock implies a persistent increase in the CPI four years following the shock.",NA,NA,"Amir-Ahmadi_NA_measuring",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"ref_0018","1",6685,"38JZAR4A","Mumtaz, Haroon; Surico, Paolo","The Transmission of International Shocks: A Factor-Augmented VAR Approach",2009,"Journal of Money, Credit and Banking","s1","41","journalArticle","The empirical literature on the transmission of international shocks is based on small-scale VARs. In this paper, we use a large panel of data for 17 industrialized countries to investigate the international transmission mechanism, and revisit the anomalies that arise in the empirical literature. We propose a factor augmented VAR (FAVAR) that extends the model in Bernanke, Boivin, and Eliasz (2005) to the open economy. The main results can be summarized as follows. First, the dynamic effects on the UK economy of an unanticipated fall of short-term interest rates in the rest of the world are: real house price inflation, investment, GDP and consumption growth peak after 1 year, wages peak after 2 years, and CPI and GDP deflator inflation peak during the third year. Second, a positive international supply shock makes the distribution of the components of the UK consumption deflator negatively skewed. Third, in response to a domestic monetary shock, we find little evidence of the exchange rate and liquidity puzzles and little evidence of the forward discount and price anomalies.","10.1111/j.1538-4616.2008.00199.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1538-4616.2008.00199.x","Mumtaz_2009_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"ref_0019","1",812,"EVZVB5N6","Yen, Meng","Essays on Macroeconomic Uncertainty: New Evidence from China",2020,NA,NA,NA,"thesis","This dissertation is a collection of three essays about uncertainty and conducts a country-specific study based on China. In Chapter 1, I investigate the impact of US uncertainty shocks on China's macroeconomy with a focus on the dynamic response of investment. Using a structural vector autoregression model, I find that the wait-and-see mechanism of aggregate investment in the face of heightened US uncertainty disappears in China. Robust evidence confirms that the increase in state-owned enterprises' investment in response to heightened uncertainty explains this puzzle, while private-owned enterprises' investment decreases as expected. I apply regime-dependent local projections to link uncertainty shocks with credit regimes to explore whether the impact of US uncertainty shocks on investment in China has varied over time in connection with the states of bank loans. The empirical results support a positive response of state-owned enterprises' investment to increased US uncertainty during the tightening of medium- and long-term bank loans but a negative reaction when short-term bank loans are tightening. Finally, I show that economic policy uncertainty conveying political signals leads to a decline in state-owned enterprises' investment. Overall, this paper provides richer empirical evidence on the investment-uncertainty nexus. In Chapter 2, I examine the time-varying responses of monetary policy to uncertainty shocks in China. Based on China's monetary policy regimes identified by the narrative approach to identify China's monetary policy regimes, the rolling sample VAR confirms the time-varying patterns of distinct monetary policy instruments in coping with uncertainty shocks. The time-varying parameters VAR further shows that heightened uncertainty leads to a persistent decline in the policy rate and money supply, suggesting that the interest rate is a more effective monetary policy instrument in response to uncertainty shocks. I finally investigate the state-dependent impulse responses to monetary policy shocks under low and high levels of uncertainty and find that money supply instrument is less effective during the high uncertainty periods while the efficacy of interest rate instrument won't be weakened by the increasing uncertainty. Overall, the empirical findings support the on-going transformation of China's monetary policy from the quantity-based to the price-based policy rule. In Chapter 3, I explore the cross-country economic policy uncertainty (EPU) spillovers in time and frequency domains, with a focus on how China's EPU influences EPU in other countries. The time-domain analysis shows that China is a net receiver of global EPU but has stronger outward spillovers during the global financial crisis. The connectedness network demonstrates that China only plays a minor role in the transmission network of global EPU. The frequency-domain results further uncover that international spillovers of China's EPU are mainly driven by short-term spillovers. However, during the global financial crisis, the medium-term and long-term spillovers temporarily dominate compared to the short-term spillovers. Overall, the empirical results have important policy implications because economic policy uncertainty arising abroad might have domestic consequences through international spillovers channel.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1936429&site=ehost-live","Yen_2020_essays",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"ref_0020","1",145,"9PDAMY8I","Wlodarczyk, Przemyslaw","Monetary Policy Transmission and the Labour Market in the Non-eurozone Visegrad Group Countries in 2000-2014: Evidence from SVAR Analysis",2017,"Comparative Economic Research","4","20","journalArticle","This paper is aimed at filling the gap in existing economic research by delivering new evidence on the money-labour nexus in the emerging markets of the non-eurozone Visegrad group countries (i.e. Czech Republic, Hungary and Poland). Analyses are based on the Structural VAR (SVAR) models of the monetary transmission mechanism, estimated using monthly data from the 2000:1-2014:2 period. In order to obtain impulse responses, the short-run restrictions set, based on the monetary transmission theory, is imposed. Two different identification schemes are considered. The results confirm that there exists a nexus between monetary policy, employment, and unemployment. According to the obtained estimates monetary policy shocks invoked lagged, hump-shaped reactions of output, employment and unemployment in each of the analysed countries.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1915357&site=ehost-live","Wlodarczyk_2017_monetary",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"ref_0021","1",720,"IXUTM9DP","Shibamoto, Masahiko","Source of Underestimation of the Monetary Policy Effect: Re-examination of the Policy Effectiveness in Japan's 1990s",2016,"Manchester School","6","84","journalArticle","This paper re-examines empirical evidence on the potency of Japanese monetary policy in the 1990s by comparing the estimated impacts of various proxies for monetary policy shocks on the macroeconomy. My empirical results demonstrate that surprise target changes modeled as proxies for monetary policy shocks had impacts on real output and financial variables over the period 1990-2001. I also show that the estimated effects of identified monetary policy shocks depend on whether or not the shocks are expected: the monetary policy effects on the economy are underestimated when the empirical models fail to control for the market expectation for the monetary policy stance.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1637309&site=ehost-live","Shibamoto_2016_source",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"ref_0022","1",7394,"GQ32II39","Mayorga-Martinez, Mauricio","A Measurement of the Asymmetric Effects of Monetary Policy in Costa Rica",1998,NA,NA,NA,"journalArticle","The main objective of this research is to collect some empirical evidence on the relationship between monetary and real phenomena in the short and long run as well as the possible asymmetric effects of monetary policy. Among the factors that contribute to the asymmetry are changes in expectations, credit restrictions, and price stickiness. For Costa Rica, monetary asymmetry was intended to be captured through the use of vector autoregressions (VARs) applied to the aggregate M1 and two-stage least squares applied to the interest rates. For the former case, there is no significant evidence of a relationship of short-run movements of M1 on real growth and employment. There exists, however, some indication of an impact of changes in M1 upon the interest rates. Regarding the effect of changes, there is an asymmetric impact upon real activity when a two-period lag is used. Regarding monetary policy, these results imply the following: Monetary shocks are an important source of pressure on the aggregate demand; monetary policy may contribute to economic growth through smoothing the impact of monetary shocks; interest rates may become leading indicators of price variations; and finally, pressure groups may be interested in looking for reductions of interest rates. As a conclusion, the research points out the absences of the non-neutrality hypothesis. Variations of M1 exert pressures on real activity through time.",NA,"https://papers.ssrn.com/abstract=51397","Mayorga-Martinez_1998_a",NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"ref_0023","1",1842,"GYW3RH4N","Karaca, Emek; Tugan, Mustafa","Aggregate Dynamics after a Shock to Monetary Policy in Developing Countries",2017,"International Journal of Central Banking","1","13","journalArticle","This paper investigates the effects from a shock to monetary policy in developing economies under an inflation-targeting regime. We find that price adjustment is fast in these economies, causing the monetary policy shock to have less persistent effects on output compared with those in advanced economies. We show that a small open-economy model featuring staggered wage setting with incomplete financial markets is largely able to explain our findings.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1636260&site=ehost-live","Karaca_2017_aggregate",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"ref_0024","1",1628,"8GRI5Q8M","Goyal, Ashima; Kumar, Abhishek","A DSGE Model-Based Analysis of the Indian Slowdown",2020,"Journal of International Commerce, Economics and Policy","1","11","journalArticle","A New Keynesian Dynamic Stochastic General Equilibrium (DSGE) model with habit persistence used to examine the US slowdown is also used to analyze the contribution of basic demand and supply shocks to the Indian slowdown. Kalman filter-based maximum likelihood estimation is undertaken with Indian output, inflation and interest rate data. First, our model based output gap tracks the statistical Hodrick-Prescott filter-based output gap well. Second, comparison of estimated parameters, impulse responses and forecast error variance decomposition between India and the US brings out the differences in policy responses, the structure of the two economies and their inflationary processes. There is a higher impact of interest rate shocks on output and inflation, and lower impact of technology shocks on output but higher on inflation in comparison to US. The former indicates monetary policy over-reaction and the latter validates a supply curve that technology shocks shift and inadequate adjustment of actual to potential output. Habit persistence is higher, markup and interest rate shocks are more volatile in India. Markup shocks play a much larger role in determination of Indian inflation again pointing to the importance of supply side factors. Third, smoothed states obtained from the Kalman filter to create counterfactual paths of output and inflation (during 2009:Q4 to 2013:Q2) in the presence of a given shock, show monetary shocks imposed significant output cost. The output gap was negative post the 2011 slowdown and in 2016.",NA,"https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1862511&site=ehost-live","Goyal_2020_a",NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"ref_0025","1",7118,"G4QM2KQ7","Nguyen, Hoang Chung","The Nexus Between Monetary Policy and Economic Growth: Evidence from Vietnam",2022,"The Journal of Asian Finance, Economics and Business(JAFEB)","1","9","journalArticle","The study estimates the Structured VAR and the Dynamic Stochastic General Equilibrium Model for the Vietnamese economy based on the new Keynesian model for small and open economies, with the output gap, inflation, policy interest rate, the Vietnamese exchange rate, and the inflation and interest rate in the United States. The paper aims to clarify the impulse response of the macro variables through their shocks. It offers to model the SVAR and DSGE processes, as well as describe why and how interest rate policy is important in the impulse response of macro variables like the output gap and inflation process. The study supports the central role of monetary policy by giving empirical evidence for the new Keynesian theory, according to which an interest rate shock causes the output gap to widen and inflation to decrease. Finally, the application of the DSGE model is becoming more and more popular in the State Bank of Viet Nam to improve its policy planning, analyzing, and forecasting policy towards sustainable and stable growth.","10.13106/jafeb.2022.vol9.no1.0153","https://scholar.kyobobook.co.kr/article/detail/4010028748394","Nguyen_2022_the",NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"ref_0026","1",2007,"S75ANYR5","Lakdawala, Aeimit","Decomposing the Effects of Monetary Policy Using an External Instruments SVAR",2019,"Journal of Applied Econometrics","Query date: 2023-02-09 13:16:09","34","journalArticle","We study the effects of monetary policy on economic activity separately identifying the effects of a conventional change in the fed funds rate from the policy of forward guidance. We use a structural VAR identified using external instruments from futures market data. The response of output to a fed funds rate shock is found to be consistent with typical monetary VAR analyses. However, the effect of a forward guidance shock that increases long-term interest rates has an expansionary effect on output. This counterintuitive response is shown to be tied to the asymmetric information between the Federal Reserve and the public.","10.1002/jae.2721","https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1822903&site=ehost-live","Lakdawala_2019_decomposing",NA,NA,NA,NA,NA,NA,NA,NA,NA,26
